Unit No,Store,Store Address
101,Andheri,"Shoppers Stop Ltd, 211, D. S. V Road, Andheri - West, Mumbai - 400 058."
102,Bangalore 1,"Shoppers Stop Ltd, Garuda Mall, Magrath Road, Ashok Nagar, Bangalore-560 025"
103,Hyderabad,"Shoppers Stop Ltd, Plot No. 1-11-251/1, Alladin Mansion, Begumpet, Hyderabad - 500 034."
106,Chennai,"Shoppers Stop Ltd. No 2, Harrington Road, Chetpet, Chennai - 600 031."
109,Bandra,"Shoppers Stop Ltd. Suburbia Mall (I) Pvt Ltd. Old Bandra Talkies, Linking Road, Bandra - West, Mumbai - 400 050"
110,Gurgaon,"Shoppers Stop Ltd. MGF Metropolitan Mall, M.G. Road, Gurugram, Harayana. 122001"
112,Kolkatta 1,"Shoppers Stop Ltd. 10/3, Lala Lajpatrai Sarani |Elgin Road |Kolkata-700020"
114,Malad,"Shoppers Stop Ltd. Inorbit Mall (I) Pvt Ltd, Plot No - 1406 - A, 28/A Link Road, Malad - West, Mumbai - 400 064."
115,Kolkatta 2,"Shoppers Stop Ltd. DC - 1, Sector - 1, Salt Lake, City Centre, Kolkata - 700 064."
116,Bangalore 2,"Shoppers Stop Ltd. Commerce@Mantri, Ground floor, N.S.Palya, Bannerghatta Road, Bangalore-560076."
117,Juhu,"Shoppers Stop Ltd. Dynamic Mall,Y.J.Reality, J.V.P.D.Scheme, S.D.Marg, Next to chandan cinema Vile parle (W) Mumbai 400049"
120,Ghaziabad,"Shoppers Stop Ltd. Shipra Mall,Vaibhav Khand, Ghaziabad- 201 012."
121,Lucknow,"Shoppers Stop Ltd. Fun Republic Mall, Gomti Nagar Lucknow 226010."
122,GVK Hyderabad,"Shoppers Stop Ltd. GVK One Mall, Plot # 6 - 3 - 251, Road No 01, Banjara Hills, Hyderabad - 500 034"
126,OMR Bang,"Shoppers Stop Ltd. Gopalan Signature Mall, Opp. RMZ Infinity,Old Madras Road , Bangalore – 560 093."
127,MGF Saket,"Shoppers Stop Ltd, Plot No. A- 2A, MGF Metropolitan Mall, District Center Saket, New Delhi – 110 017."
128,Kolkatta 3,"Shoppers Stop Ltd, Southcity Mall, 375 Prince Anwar Shah Road, Kolkata - 700 068."
130,Noida,"Shoppers Stop Ltd, TGIP, Unitech Mall, Plot No. 2 Sector – 38 A, Noida - 201 301."
138,Airport Hyderabad,"Shoppers Stop Ltd, GMR Hyderabad International Airport Ltd, Level D, Passenger Terminal Building, Shamshabad Airport, Rangareddy District, Hyderabad - 500 409."
140,Airport Bangalore,"Shoppers Stop Ltd. Airport Retail, Passenger Terminal Building, Bengaluru International Airport, Devanhalli, Bengaluru - 560 300."
143,Malleshwaram,"Shoppers Stop Ltd, Mantri square, Malleshwaram, Bengaluru - 560 003."
144,Vashi,"Shoppers Stop Ltd. Unit No: G- A2 & F - A2, Inorbit Mall, Plot No 39/1, Vashi - 400 705."
146,Amritsar,"Shoppers Stop Ltd, Mall of Amritsar,MBM Farm, Near Hyatt Hotel, GT Road Amritsar-143 001."
147,Vasant Kunj,"Shoppers Stop Ltd, Ambience Mall, Shop No.- 1, Nelson Mandela Road, Vasant Kunj, New Delhi -110070"
150,Aurangabad,"Shoppers Stop Ltd, Prozone Mall, Plot No.G3\F3, P-80 Sector C, API Corner Chiklthana, Aurangabad - 431210."
151,Vastrapur Ahmedabad,"Shoppers Stop Ltd, Ahmedabad One Mall, Vastrapur,Ahmedabad – 380 054."
153,Viviana City Thane,"Shoppers Stop Ltd, Viviana Mall, Opp. Eastern Express Highway, Next to Jupiter Hospital, Thane (West) – 400 606."
