58gffl5,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,,Cost,Level,Inventory Medium,Inventory Type,Location,Category,Beauty SOH Type
1,South,B,Bannerghatta,16V1,43'',106'',Eco Solvent Self adhesive vinyl with matt laminatio,,,,,0,Frontlit,Pillar,Sunglass,Non-apps,
2,South,B,Bannerghatta,16V2,36'',95'',Eco Solvent Self adhesive vinyl with matt laminatio,,,,,0,Frontlit,Pillar,Sunglass,Non-apps,
3,South,B,Bannerghatta,16V3,36'',94'',Eco Solvent Self adhesive vinyl with matt laminatio,,,,,0,Frontlit,Pillar,Watches,Non-apps,
4,South,B,Bannerghatta,16V4,36'',95'',Eco Solvent Self adhesive vinyl with matt laminatio,,,,,0,Frontlit,Pillar,Watches,Non-apps,
5,South,B,Bannerghatta,16V5,36'',95'',Eco Solvent Self adhesive vinyl with matt laminatio,,,,,0,Frontlit,Pillar,Watches,Non-apps,
6,South,B,Bannerghatta,16V7,36'',83'',Eco Solvent Self adhesive vinyl with matt laminatio,,,,,0,Frontlit,Pillar,Watches,Non-apps,
7,South,B,Bannerghatta,16V8,24'',88'',Eco Solvent Self adhesive vinyl with matt laminatio,,,,,0,Frontlit,Pillar,Indian Wear,Ladies,
8,South,B,Bannerghatta,16V9,24'',88'',Eco Solvent Self adhesive vinyl with matt laminatio,,,,,0,Frontlit,Pillar,Ladies Western,Ladies,
9,South,B,Bannerghatta,16V10,24'',88'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Ladies Western,Ladies,
10,South,B,Bannerghatta,16V11,24'',88'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Mens Formal,Mens,
11,South,B,Bannerghatta,16V12,36'',83'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Mens Denim,Mens,
12,South,B,Bannerghatta,16V13,24'',89'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Mens Formal,Mens,
13,South,B,Bannerghatta,16V14,24'',89'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Mens Denim,Mens,
14,South,B,Bannerghatta,16V15,24'',88'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Mens Formal,Mens,
15,South,B,Bannerghatta,16V16,24'',88'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Mens Athleisure,Mens,
16,South,B,Bannerghatta,16V17,24'',88'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Mens Denim,Mens,
17,South,B,Bannerghatta,16V18,24'',88'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Mens Denim,Mens,
18,South,B,Bannerghatta,16V19,36'',83'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Kids Infant,Kids,
19,South,B,Bannerghatta,16V20,36'',83'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Home,Home,
20,South,B,Bannerghatta,16V21,36'',83'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Kids Infant,Kids,
21,South,B,Bannerghatta,16V22,24'',83'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Kids girl,Kids,
22,South,B,Bannerghatta,16V23,36'',83'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Kids Infant,Kids,
