f,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,"Sq,ft.",Cost,Level,Inventory Medium,Inventory Type,Location,Category
1,East,A,Kol Elgin,12GFBL2,26'',92'',Backlit Fabric with silicon strip,,1,16.29166667,,0,Backlit,Pillar,Non-apps,Non-apps
2,East,A,Kol 1,12GFSV1,13.5'',55.5'',Translit Film ,,6,#VALUE!,,0,Frontlit,Sensomatic,Fragrance,Beauty
3,East,A,Kol Elgin,12SFBL1,36'',110'',Backlit Fabric with silicon strip,,1,27.11805556,,2,Backlit,Façade,Mens Denim,Mens
4,East,A,Kol 1,12GFFL1,48'',97'',Grey Back Vinyl ,,1,32.33333333,,0,Frontlit,Pillar,Beauty,Beauty
5,East,A,Kol 1,12SWFL3,96'',78'',Grey Back Vinyl ,,1,52,,0,Frontlit,Stairway,Ladies,Ladies
6,East,A,Kol 1,12FFFL2,42'',91'',Eco solvent self adhesive vinyl with matt lamination,,1,26.54166667,,1,Frontlit,Pillar,Indian Wear,Ladies
7,East,A,Kol 1,12GFW1,115'',115'',Backlit Flex,,1,91.84027778,,0,Frontlit,Façade,Generic,Generic
8,East,A,Kol 1,12FFFL3,31'',91'',Eco solvent self adhesive vinyl with matt lamination,,1,19.27430556,,1,Frontlit,Pillar,Indian Wear,Ladies
9,East,A,Kol 1,12FFFL4,40'',91'',Eco solvent self adhesive vinyl with matt lamination,,1,25.27777778,,1,Frontlit,Pillar,Indian Wear,Ladies
10,East,A,Kol 1,12FFFL5,42'',91'',Eco solvent self adhesive vinyl with matt lamination,,1,26.54166667,,1,Frontlit,Pillar,Ladies Western,Ladies
11,East,A,Kol Elgin,12FFFL6,30'',91'',Eco solvent self adhesive vinyl with matt lamination,,1,18.95833333,,1,Frontlit,Pillar,Ladies Western,Ladies
12,East,A,Kol 1,12FFFL7,31'',92'',Eco solvent self adhesive vinyl with matt lamination,,1,19.38020833,,1,Frontlit,Pillar,Ladies Western,Ladies
13,East,A,Kol Elgin,12FFFL8,213'',37'',Eco solvent self adhesive vinyl with matt lamination,,1,54.72916667,,1,Frontlit,Pillar,Ladies,Ladies
14,East,A,Kol Elgin,12SFFL5,26'',91'',Eco solvent self adhesive vinyl with matt lamination,,1,16.11458333,,2,Frontlit,Pillar,Mens Denim,Mens
15,East,A,Kol Elgin,12SWFL7,49'',96'',Eco solvent self adhesive vinyl with matt lamination,,1,32.33333333,,2,Frontlit,Stairway,Mens Formal,Mens
16,East,A,Kol Elgin,12SWFL5,48'',95'',Eco solvent self adhesive vinyl with matt lamination,,1,31.66666667,,1,Frontlit,Stairway,Mens Denim,Mens
17,East,A,Kol 1,12SFCC1,30'',41'',Backlit Fabric with silicon strip,,1,8.541666667,,2,Backlit,Cash Counter,Mens Denim,Mens
18,East,A,Kol 1,12SFFL1,38'',91'',Backlit Fabric with silicon strip,,1,23.69791667,,2,Frontlit,Pillar,Kids,Kids
19,East,A,Kol 1,12SFFL2,41'',91'',Backlit Fabric with silicon strip,,1,25.59375,,2,Frontlit,Pillar,Kids,Kids
20,East,A,Kol 1,12SFFL3,30'',91'',Backlit Fabric with silicon strip,,1,18.64236111,,2,Frontlit,Pillar,Kids,Kids
21,East,A,Kol 1,12SFFL6,30'',91'',Eco solvent self adhesive vinyl with matt lamination,,1,18.95833333,,2,Frontlit,Pillar,Mens Denim,Mens
22,East,A,Kol 1,12SFFL7,41'',91'',Backlit Fabric with silicon strip,,1,25.59375,,2,Frontlit,Pillar,Mens Denim,Mens
23,East,A,Kol 1,12TFCC1,48'',41'',Backlit Fabric with silicon strip,,1,13.52430556,,3,Backlit,Cash Counter,Mens Formal,Mens
24,East,A,Kol 1,12SWFL1,48'',97'',Eco solvent self adhesive vinyl with matt lamination,,1,32.16666667,,0,Frontlit,Stairway,Generic,Generic
25,East,A,Kol 1,12SWFL2,48'',96'',Eco solvent self adhesive vinyl with matt lamination,,1,32,,0,Frontlit,Stairway,Ladies,Ladies
26,East,A,Kol 1,12SWFL3,96'',78'',Eco solvent self adhesive vinyl with matt lamination,,1,52,,0,Frontlit,Stairway,Ladies,Ladies
27,East,A,Kol 1,12SWFL4,48'',97'',Eco solvent self adhesive vinyl with matt lamination,,1,32.16666667,,1,Frontlit,Stairway,Generic,Generic
28,East,A,Kol 1,12SWFL10,96'',134'',Eco solvent self adhesive vinyl with matt lamination,,1,89.33333333,,2,Frontlit,Stairway,Mens Formal,Mens
29,East,A,Kol 1,12GFFL2,20'',91'',Eco solvent self adhesive vinyl with matt lamination,,1,12.63888889,,0,Frontlit,Pillar,Ladies Footwear,Leather
30,East,A,Kol 1,12GFFL3,23'',89'',Eco solvent self adhesive vinyl with matt lamination,,1,14.21527778,,0,Frontlit,Pillar,Fragrance,Beauty
31,East,A,Kol 1,12GFFL4,217'',36'',Eco solvent self adhesive vinyl with matt lamination,,1,54.25,,0,Frontlit,Pillar,Non-apps,Non-apps
32,East,A,Kol 1,12GFBL1,60'',110'',BACKLIT FLEX,,1,45.45138889,,0,Backlit,Pillar,Fragrance,Beauty
33,East,A,Kol 1,12GFBL3,29'',109'',Backlit Fabric with silicon strip,,1,21.57291667,,0,Backlit,Pillar,Watches,Non-apps
34,East,A,Kol 1,12GFSV2,16.5'',52'',Translit Film ,,4,#VALUE!,,0,Frontlit,Sensomatic,Fragrance,Beauty
