f,Zone,Grade,Store Name,Space code,W,H,Material,D,Qty,Sq.ft.,Cost,,Inventory Medium,Inventory Type,Location,Category,Beauty SOH Type
1,North,D,Agra,86FFSOH1,31'',112'',ESML,30,1,24.00347222,,,,,,,
2,North,D,Agra,86FFSOH1A,32'',112'',ESMl,,1,24.77777778,,1,Frontlit,Pillar,Mens Denim,Mens,
3,North,D,Agra,86FFSOH1B,33'',112'',ESML,,1,25.16493056,,1,Frontlit,Pillar,Mens Denim,Mens,
4,North,D,Agra,86FFSOH5,32'',98'',ESMl,,1,21.77777778,,,,,,,
5,North,D,Agra,86FFSOH7,26'',112'',ESML,,1,20.13194444,,,,,,,
6,North,D,Agra,86FFSOH7A,26'',112'',ESML,,1,20.13194444,,1,Frontlit,Pillar,Mens Denim,Mens,
7,North,D,Agra,86FFSOH7B,26'',112'',ESML,,1,20.13194444,,1,Frontlit,Pillar,Mens Denim,Mens,
8,North,D,Agra,86FFSOH10,27'',100'',ESML,,1,18.65625,,1,Frontlit,Pillar,Mens Denim,Mens,
9,North,D,Agra,86FFSOH10A,27'',100'',ESML,,1,18.31076389,,,,,,,
10,North,D,Agra,86FFSOH10B,27'',100'',ESML,,1,18.65625,,,,,,,
11,North,D,Agra,86FFSOH13,31'',111'',ESML,,1,23.78819444,,1,Frontlit,Pillar,UGS,Mens,
12,North,D,Agra,86FFSOH14,30'',107'',ESML,,1,22.29166667,,1,Frontlit,Pillar,UGS,Mens,
13,North,D,Agra,86FFSOH15,32'',112'',ESML,,1,24.390625,,1,Frontlit,Pillar,UGS,Mens,
14,North,D,Agra,86FFSOH16,32'',113'',ESML,,1,24.609375,,,,,,,
15,North,D,Agra,86FFSOH16A,32'',113'',ESML,,1,24.609375,,1,Frontlit,Pillar,Mens Formal,Mens,
16,North,D,Agra,86FFSOH16B,32'',113'',ESML,,1,24.609375,,1,Frontlit,Pillar,Mens Formal,Mens,
17,North,D,Agra,86FFSOH19,32'',116'',ESML,,1,25.265625,,1,Frontlit,Pillar,Mens Formal,Mens,
18,North,D,Agra,86FFSOH21,33'',100'',ESML,,1,22.45659722,,,,,,,
19,North,D,Agra,86FFSOH24,25'',112'',ESML,,1,19.35763889,,,,,,,
20,North,D,Agra,86FFSOH24A,25'',112'',ESML,,1,19.35763889,,1,Frontlit,Pillar,Kids,kids,
21,North,D,Agra,86FFSOH24B,25'',112'',ESML,,1,19.35763889,,1,Frontlit,Pillar,Kids,kids,
22,North,D,Agra,86FFSOH36,43'',106'',ESML,,1,31.28472222,,1,Frontlit,Pillar,Mens Formal,Mens,
23,North,D,Agra,86FFSOH37,43'',106'',ESML,,1,31.28472222,,1,Frontlit,Pillar,Mens Formal,Mens,
