,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,"Sq,ft.",Cost,Level,Inventory Medium,Inventory Type,Location,Category,Category,Comments
1,West,A,Andheri,1FFFL4,46,85,ESML,,1,27.15277778,,1,Frontlit,Pillar,Ugs,Mens,,
2,West,A,Andheri,1FFAV2,,,(the arrow image location),,3,,,1,Frontlit,Atrium,Mens Formal,Mens,,
3,,,,,,,Scaffolding needed,,,,,,,,,,,
4,West,A,Andheri,1FFAV2A,540,135,Star Flex,,1,506.25,,1,Frontlit,Atrium,Mens Formal,Mens,,
5,West,A,Andheri,1FFAV4,54',192',Star Flex,,3,72,,1,Frontlit,Atrium,Mens Denim,Mens,,
6,,,,,,,Scaffolding needed,,1,,,,,,,,,
7,West,A,Andheri,1SFFL1,38'',102'',ESML,,1,26.91666667,,2,Frontlit,Pillar,Kids,Kids,,
8,West,A,Andheri,1SWFL1 (3vis),37'',73'',ESML,,3,18.75694444,,1,Frontlit,Stairway,Mens Denim,Mens,,
9,West,A,Andheri,1SWFL6,37'',73'',ESML,,1,18.62847222,,3,Frontlit,Stairway,Indian Wear,Ladies,,
10,West,A,Andheri,1SWFL8,37'',73'',ESML,,1,18.75694444,,3,Frontlit,Stairway,Indian Wear,Ladies,,
11,West,A,Andheri,1TFFL2,33'',85'',ESML,0,1,19.47916667,,3,Frontlit,Pillar,Ladies Western,Ladies,,
12,West,A,Andheri,1TFBL4,36'',107'',Backlit Fabric with Silion Strips,0,1,26.37847222,,3,Backlit,Pillar,Ladies Western,Ladies,,
13,West,A,Andheri,1GFFL1,31'',96'',ESML,,1,20.66666667,,0,Frontlit,Pillar,Watches,Non-apps,,
14,West,A,Andheri,1GFFL2,31'',97'',ESML,,1,20.88194444,,0,Frontlit,Pillar,Watches,Non-apps,,
15,West,A,Andheri,1GFFL3,23'',97'',ESML,,1,15.49305556,,0,Frontlit,Pillar,Watches,Non-apps,,
16,West,A,Andheri,1GFFL4,23'',97'',ESML,,1,15.49305556,,0,Frontlit,Pillar,Watches,Non-apps,,
17,West,A,Andheri,1GFFL5,26'',97'',ESML,,1,17.51388889,,0,Frontlit,Pillar,Watches,Non-apps,,
18,West,A,Andheri,1GFFL6,26'',97'',ESML,,1,17.51388889,,0,Frontlit,Pillar,Watches,Non-apps,,
19,West,A,Andheri,1GFFL7,26'',58'',ESML,,1,10.47222222,,0,Frontlit,Pillar,Watches,Non-apps,,
20,West,A,Andheri,1GFFL8,27'',97'',ESML,,1,18.1875,,0,Frontlit,Pillar,Watches,Non-apps,,
21,West,A,Andheri,1GFFL9,26'',58'',ESML,,1,10.47222222,,0,Frontlit,Pillar,Watches,Non-apps,,
