SL. No.,SAP Code,Retailer Name,Location,Google Map Link,Contact Number
1,1134754,STANDARD TIME,Amritsar,https://maps.app.goo.gl/x71UMwHgU7VDn5W59,8847335548
2,1134743,ASHOKA TIMES,Bathinda,https://maps.app.goo.gl/SLw1J8UJC5vSoMYk9,9888739122
3,1134738,PRAKASH WATCH CO,Gurugram,https://maps.app.goo.gl/DXviEwxX2g65QnY16,9810955064
4,1134762,VANDANA TIME CENTRE,Hisar,https://maps.app.goo.gl/shdhc2XYhd7aQvZn6,9215635411
5,9032721,THE TIME AND VISION,Bathinda,https://maps.app.goo.gl/9B78pqQBy6PTeFW56,9216246002
6,9008661,OBEROI TIME,Ludhiana,https://maps.app.goo.gl/XvxXub5f1ZeSyXR86,8360656648
7,9008651,P.K WATCH CO.,Ludhiana,https://maps.app.goo.gl/iaEM6TMGCe6dVMFVA,9872530030
8,9009297,NATIONAL WATCH HOUSE-17,Chandigarh,https://maps.app.goo.gl/sguf8xxi8nsjDNwP6,9815134684
9,9015863,A J TIMES,Amritsar,https://maps.app.goo.gl/N93ELrMCHoG5vJPy6,9780639068
10,9025023,RUDRA AGENCIES,Mohali,https://maps.app.goo.gl/naKWDAxN78G9RyEg8,9041265856
11,1134483,Gupta Watch co,BAREILLY,https://maps.app.goo.gl/22eHCtGVvtG9Ppsi8,9319485000
12,9009077,KRISHNA WATCH HOUSE,MEERUT,https://maps.app.goo.gl/ca5DzjvDgsr79bEo7,9897544049
13,9009080,R.R ENTERPRISES,MEERUT,https://maps.app.goo.gl/RRfAZ2eRQGAsdfdw7,9837007919
14,9009093,THE TITAN GALLERY,MUZAFFARNAGAR,https://maps.app.goo.gl/t27XATXUxKnQLiti7,9897547415
15,9013820,EMPIRE WATCH CO,NOIDA,https://maps.app.goo.gl/KtpCCVjxGm5uL9S37,8586827379
16,9013860,SAI CREATIONS,NOIDA,https://maps.app.goo.gl/gJ9M7jzwGtGhPXRe9,8920916104
17,1139260,GUPTA WATCH COMPANY -DD PURAM,BAREILLY,https://maps.app.goo.gl/VqT5ks325z6M4wUz6,9359118000
18,9038936,SETHI WATCH COMPANY,NOIDA,https://maps.app.goo.gl/oweZ7YAHVJSBytfB6,9220466224
19,9024868,DOLLAR WATCH COMPANY,AMRITSAR,https://maps.app.goo.gl/6Qe1Tvwgp6wDxgMm9,9953555582
20,9008956,DISHA TIME POINT,DELHI,https://maps.app.goo.gl/KsVJEvnKnU1SoMwr6,9810520000
21,9008994,NEW PRAKASH WATCH CO,DELHI,https://maps.app.goo.gl/ynjghAnp5R1jYWFt6,9810955064
22,9012465,PRAKASH WATCH CO.,DELHI,https://maps.app.goo.gl/mQN9xviYMz1CNvkR6,9899645897
23,9010517,MOHIT TRADING COMPANY,DELHI,https://maps.app.goo.gl/Xk5Bgi6i2ExLQC5w8,9999461060
24,9010530,SUNDER WATCH CO.,DELHI,https://maps.app.goo.gl/7uBLdRFzTmkNNZCK8,8800989737
25,9010455,RAJEEV WATCH CO,DELHI,https://maps.app.goo.gl/cwxudwq4PpFC4UzFA,9810022472
26,9010462,SETHI WATCH CO,DELHI,https://maps.app.goo.gl/WShxKGGV6kHeS6CG8,7217629402
27,9010050,SAMAY,DELHI,https://maps.app.goo.gl/7d6Tu7NMLMqc6j9E7,9818872918
28,9015806,Music Mahal (Regd),DELHI,https://maps.app.goo.gl/teVpadjpPSqoZTLQA,9811010483
29,1100037,RADHA FANCY STORE,DELHI,https://maps.app.goo.gl/5tn8T7qVDeMnFT6r6,9811216288
30,1118930,Forward Watch & Optical Co.,DELHI,https://maps.app.goo.gl/KJ1AhrJLyhF5MuEf8,9891842345
31,1100365,RUPANI BROS,Lucknow ,https://maps.app.goo.gl/iggTQKjZDkv6HuQB9,9335923543
32,1134314,WORLD OF WATCHES,Lucknow ,https://maps.app.goo.gl/2MYuyhsfGwVZFomt7,9335191000
33,1134391,K.M. VISHWANATH,ALlahabad,https://maps.app.goo.gl/vRkqCNAt7uoLEtce6,9935687171
34,1141292,KASHI VISHWANATH,ALlahabad,https://maps.app.goo.gl/RyfyYQdKHp34zQcx8,9839737450
35,1134389,GOGIA WATCH CO. ,ALlahabad,https://maps.app.goo.gl/xRa3UKDhn1Ly4pA16,9450656534
36,1135814,RAM PRASAD AGENCIES-JALKAL,Gorakhpur,https://maps.app.goo.gl/3mWhqoRjx2kfyJ5a8,8303991404
37,1117933,Universal Watch House,Lucknow ,https://maps.app.goo.gl/o21oQkyw2tNC7MW67,7007705775
38,1119308,Universal Time store,Lucknow ,https://maps.app.goo.gl/iMYCB3Kc5HDtdUNH6,9335109788
39,9037395,Watches & More (Nikunj Udyog - Sigra),varanasi,https://maps.app.goo.gl/5uvTX34qTzLduQcG7,8881120003
40,9009464,NEW RUBY WATCH CO.,kanpur ,https://maps.app.goo.gl/YsAAyMmDty5GRtd7A,9336720597
41,9016971,SILVER TIME HOUSE,UDAIPUR,https://maps.app.goo.gl/qS9FgJHEGzvmzYT2A,9001378799
42,9038777,M.M. ENTERPRISES,Jaipur,https://maps.app.goo.gl/gVSbeCjM2Haz9SLM8,9256213737
43,9039945,THE WATCH HUB,Jaipur,https://maps.app.goo.gl/yn9jMWQwHx2f6xSv5,9660799743
44,9007501,INDIAN WATCH COMPANY,Jaipur,https://maps.app.goo.gl/YPG9bkoxZGVJe8ja9,9828230805
45,9007261,ARMY WATCH CO,JAMMU,https://maps.app.goo.gl/rkya8VutLrhtuoZo7,7006310691
46,9007268,DOGRA TIMES,JAMMU,https://maps.app.goo.gl/xqyBEMFEh7qns5Ms8,9419198898
47,9009322,PHUL CHAND & SONS,SHIMLA,https://maps.app.goo.gl/Qsb6rz7jS8rgmBHW7,9816025621
48,9007323,TIME N SOUND,SRINAGAR,https://maps.app.goo.gl/xK3XQpfb8KeMgAD79,9419004060
49,9019764,E ZONE,SRINAGAR,https://maps.app.goo.gl/aMwDjZjuK9Xr61rM7,9419078783
50,9009478,RUPANI WATCH HOUSE,kanpur ,https://maps.app.goo.gl/t9kYTnKMjnxnDKu66,8604123456
51,1132082,KAMAL WATCH CO P LTD,"Abids Road, Bogulkunta","kamal watch co Shop No.18, Beside Bata, Metro Estates, Abids Road - Google Search",9032332057
52,1133441,KAMAL WATCH CO P LTD,"Rajendranagar, Attapur",Kamal Watch Co. - Attapur - Google Maps,9121000650
53,1133533,KAMAL WATCH CO P LTD,"Dilsukhnagar, Hyderabad",https://www.google.com/maps/place/Kamal+Watch+Co.+-+Dilsukh+Nagar/data=!4m2!3m1!1s0x0:0x758888a03ebf4cac?sa=X&ved=1t:2428&ictx=111,9121165178
54,1112976,KAMAL WATCH CO P LTD,"Chaitanyapuri, Dilsukhnagar",Kamal Watch Co. - Dilsukhnagar - Google Maps,9121000312
55,1128470,KAMAL WATCH CO P LTD,"Miyapur, Hyderabad",Kamal Watch Co. - GSM Mall & Multiplex - Google Maps,9121000837
56,1128909,KAMAL WATCH CO P LTD,"Uppal, Secunderabad",Kamal Watch Co. - DSL Virtue Mall - Google Maps,9121000314
57,9021532,NEW GLOBE WATCH CO," X Road, Ameerpet",Globe Watch & Services - Google Maps,8106111101
58,1140759,KAMAL WATCH CO P LTD,"Hitech City Rd, opposite Google",Kamal Watch Co. - Hitech Fashion - Google Maps,9052359252
59,1127481,KAMAL WATCH CO P LTD," Kondapur, Whitefields",Kamal Watch Co. - Sarath City Capital Mall - Google Maps,9121000835
60,1122438,KAMAL WATCH CO P LTD,"K P H B Phase 6, Kukatpally",Kamal Watch Co. - Nexus Hyderabad Mall - Google Maps,9121000840
61,1115900,KAMAL WATCH CO P LTD,"Ramatalkies Rd, Assilametta junction",Kamal Watch Co. - Balaji Towers - Google Maps,9121000768
62,1117255,KAMAL WATCH CO P LTD,"New Resapuvanipalem, Maddelapalem",Kamal Watch Co. - CMR Central Mall - Google Maps,9121000482
63,1122434,KAMAL WATCH CO P LTD,"LABBIPET, OPP: Chennupati Petrol Bunk",Kamal Watch Co. - PVP square - Google Maps,9121000481
64,1123966,KAMAL WATCH CO PVT LTD,"Beside Appolo Hospital, Main Road",https://www.google.com/maps/place/Kamal+Watch+Co.+-+Kakinada/data=!4m2!3m1!1s0x0:0xc44dd36c0203caca?sa=X&ved=1t:2428&ictx=111,9121000547
65,1126579,KAMAL WATCH CO PVT LTD,"Pithapuram Road, Near Sarpavaram Junction",Kamal Watch Co. - SRMT Mall - Google Maps,9121000548
66,9007088,GALAXY WATCH WORKS,"Vishwa Bhavan bustand, Hampankatta",https://maps.app.goo.gl/RvRnx9e3GZ9rKyTa8,9900771444
67,9007107,MANASA TIME AND OPTICALS,"Main Road, Puttur, Karnataka 574201",https://maps.app.goo.gl/Xpt9yj7fK6PSScCX9,9448004162
68,9014431,ABHARAN JEWELLERS PRIVATE LIMITED,"Belmankar Lane, Kundapura",The Original Abharan Jewellers | Kundapur - Google Maps,7349187866
69,9032192,LONDON TIMES,"Maruthi Veethika, Udupi",https://maps.app.goo.gl/2B9dLeQkt8RTnaVF6,9343162649
70,1101256,SYMPHONY HOUSE OF MUSIC,"Maktampura, Kalaburagi",https://maps.app.goo.gl/o4RgNN965zMmRYnq9,9845352545
71,9004199,ATTITUDE THE WATCH STUDIO,"Raviwar Peth, Belagavi",https://maps.app.goo.gl/Cq2KgJWeMUo1frph8,9886776969
72,9004203,HANUMAN WATCH COMPANY,"Raviwar Peth, Belagavi",https://maps.app.goo.gl/4bwVcLYsFj5ZhuMEA,9986436037
73,9004374,VIJAY WATCH & RADIO HOUSE-DVG,"PB Rd, KB Extension, Davanagere",https://maps.app.goo.gl/syCT2gMo5ggtGDjB9,9738662225
74,9021209,COSTA TIME COLLECTION(RAGHAVI BLDG),"Rangavi building, near Margao",https://maps.app.goo.gl/ZxGZXfbw2kGUdChM7,9822157927
75,9021224,PRECISON,"MUNICIPAL MARKET, Sanscar Society, Madgaon",https://maps.app.goo.gl/GYKR26R2E7UGYpWp9,9822157927
76,9016275,SRI DURGA TIMES,"Narasipura Layout, Vidyaranyapura",TITAN SHOWROOM SRI DURGA TIMES - Google Maps,9341374734
77,9001739,NEW ANKAD TIMES,"MIG Sector B, Yelahanka New Town",NEW ANKAD TIMES - Google Maps,9845078279
78,9001687,JINNANI TIMES,"opp. central library, Malleshwaram",JINNANI TIMES - Google Maps,9886114407
79,9000976,SHREE RENUKA ENTERPRISES,"BEML Layout, Rajarajeshwari Nagar",Titan Show Room (Shree Renuka Enterprises). - Google Maps,9972928668
80,9000900,AADHUNICK TIME & FASHION,"Kothnur Main Rd, Puttenahalli",AADHUNICK TIME & FASHION - Google Maps,9880933035
81,9024690,AADHUNICK TIMES ,"Ramaiah Garden, JP Nagar 7th Phase",Aadhunick Times Titan Showroom - Google Maps,9606570771
82,9001784,RAJA TIME WORLD,"CSI Layout, Tumakuru",RAJA TIME WORLD - Google Maps,9686664599
83,9037578,TIME WORLD,"OPP SAMUDAYA BHAVANA, ARISHINAKUNTE POST, NELAMANGALA",Titan Watch Store ( Time World) - Google Maps,9880075392
84,9033638,UDAYA TIMES,"Srigandada Kaval, Annapurneshwari Nagar",Uday times WATCHES STORE - Google Maps,8123532983
85,9038650,SRI SHIVANANDI ENTERPRISES,"Hoshalli Extension, Stage 1, VIJAYNAGAR",SRI SHIVANANDI ENTERPRISES - Google Maps,8123532983
86,9027027,SRI NANDI ENTERPRISES,"Opposite to KSIT college,Raghuvanahalli",Titan showroom ( SRI NANDI ENTERPRISES ) - Google Maps,9980574498
