,
Name,Area
Kolkata,
BARDHANS,Jadavpur
BHABANI STORES,Ranaghat Subhas Avenue
EYE TIME,New Market
GABA TIMES PVT LTD,Kolkata
GRAND OPTIX,Kolkata
H M  WATCH CO,Radhabazar
IMPEX WATCH CO. AND ANANDOLOK,Garia More
KALYANI TIMES,KOLKATA
Mandakini Watch House,Near Serampore Municipality
Mandakini Watch House,Chinsurah Water Tank
NEW SANKAR WATCH,BELGHARIA
NEW STANDARD WATCH CO.,Radhabazar
PASHUPATI RETAIL,KOLKATA
RAM'S,Kolkata
Roy Optical & Watch Co.,Kolkata
Selection,New Market
Shankar watch Care,Belghoria Feeder road
SPECTRUM HOSPITALITY,Kolkata
SURUCHI SADAN,CHANDANAGAR
Tara Watch House,Kanchrapara KGR Path
Unique Electronics,Behala
Urfees,New Market
Others,
Adiytya Optical,Ramgarh
AGARWAL AGENCIES,KATIHAR
Bharat Watch Opitical,Godda
Calcutta Watch  ,Sheoraphully Udayan Cinema Hall
Capital LLP,Ranchi
Chadha time Trader ,Ranchi
CLEARSIGHT,Krishnanagar Bejikhali More
DAS OPTICS,Nawadwip Paromatala more
DILIP WATCH,SURI
Dipak Agency,Koderma
Elorra Watch,Hazaribagh
GUPTA WATCH CO,COOCH BEHAR
HINDUSTAN WATCH CO.,Sasaram
Jay watch,Jamshedpur
Jayant watch,Jamshedpur
Kailash Ram & Sons,Nawada
Kamal Trading ,Bokaro
KTECH MARKETING,Andaman
M S Hussain,Chinsurah Gharir More
Maahalaxmi watch,Daltanganj
New Godda Optical,Godda
NEW OK WATCH,ASANSOL
NEW RUBY WATCH,MALDA
NEW WATCH SERVICE,BOLPUR
NEW WATCH WORLD W,ASANSOL
ORIENT GLOBAL,RAIGANJ
ORIENT GLOBAL,Dinajpur
Parikh watch,Dhanbad
Paul watch,Ranchi
Rana Times,Muzaffarpur
RANCHI OPTICAL,HAZARIBAGH
Regal watch,Ranchi
ROYAL TIME CENTRE,KISHANGANJ
SANTOSH WATCH,PURULIA
SATHI TIMES,HILL CART ROAD
SUN WATCH AND CO,BURDWAN
The Maple,Siliguri
Time Centre,Singur Bazar
TIME CENTRE,KISHANGANJ
TIME CENTRE,PURNIA
TIME CENTRE,JALPAIGURI
TIME PALACE,BURDWAN
Titan House,Ranaghat Subhas Avenue
