KOLKATA CITY,,
Name,Area,Contact
Shankar watch Care,Belghoria Feeder road,7980046159
M/S Ghose cousin,Shyambazar,9830315386
Standard Watch,Dum Dum Cantonment,9330958290
Shambhu Nath Ghose & Othrs,Shyambazar,9875584974
KAMALA ENTERPRISE,Baranagar,830273056
J-Watch,Dum Dum,9836958815
Dey's Time,B K Paul Avenue,
CHOWDHURY WATCH MUSEUM,BELGHARIA,7980551300
New Orient Watch,Baguihati,9830201070
MA SHITALA WATCH & ELECTRONICS,Airport Gate,8777541564
KALITARA WATCH REPAIRING SHOP,Manicktala,9830862030
WATCH PALACE (T),ALAMBAZAR,7003744258
The Time,Theatre Road,
PRITAM FASHION,MADHYAMGRAM,9830916917
H M Watch,Radhabazar,9830839012
New M. Y. watch,Radhabazar,8444851155
New Standard,Radhabazar,9163623554
Urfee's,Lindsay Street,9836656119
Selection,Lindsay street,9831657487
Eye Time,Lindsay Street,9830457170
Impex,Garia More,7003480834
Bardhan's,Jadavpur,9830521990
Time House,Jadavpur,7980509230
Unique Electronics,Behal Tramdepot,983084447
RAM'S,Kolkata,
GABA TIMES PVT LTD,Kolkata,
PASHUPATI RETAIL,KOLKATA,
HASAMPURIA TIME CENTRE,Kolkata,
SURYA TIMES TRADING PRIVATE LIMITED,Kolkata,
GRAND OPTIX,Kolkata,
DEY ENTERPRISES,SEALDHA,
RAINBOW TIMES PVT.LTD.,SEALDHA,
JANATA WATCH CO.,DUMDUM,
SPECTRUM HOSPITALITY,Kolkata,
NEW SHANKAR WATCH CO.,BELGORIA,
GLORY,JADAVPUR,
ANGLO SWISS,RADHA BAZAR,
TOTCO,HAZRA,
ROY WATCH,RANIKUTHI,
KALPATARU,RANIKUTI,
JHALAK TIMES,BHAWANIPORE,
FAST MOBILE,HILAND PARK,
BAHURUPI,KUDGHAT,
KALYANI YIMES,NARENDRA PUR,
ORIENTAL,BASDRONI,
GOLDEN WATCH,GARIA,
DAYAL JEWELLERY MUSEUM,GARIAHAT,
TIME COLLECTION,GARIA HAT,
,,
Howrah,,
