,,
Medinipur,,
Name,Area,Contact
KAR EMPORIUM,Medinipur,7001751146
National Watch,Contai,9932696531
Jaiswal Enterprises,Kharagpur,9611356323
BHUTRA EMPORIUM,MEDINIPUR,
TIME AND SOUNE,HALDIA,
DAS WATCH,TAMLUK,
LEKHANI,TAMLUK,
WATCH PALACE,TAMLUK,
BHUTRA EMPORIUM,MIDNAPORE,
PAPPU WATC H,HALDIA,
DUTTA WATCH AND ELECTRONICS,MEDNIPORE,
TIME SERVICE,MEDNIPORE,
DAS ELECTRANICS,MEDNIPORE,
JAMUNA TIMES,KHARGAPORE,
UNIQUE ELECTRONICS,JHARGRAM,
RAHMAN WATCH,PANSKURA,
NEW DELHI WATCH,CHANDIPUR,
SHRADHANJALI,KOLAGHAT,
K C DAS,Haldia,9475819333
