,,
Darjeeling District- Siliguri ,,
,,
The Maple,SILIGURI,7602414232
Sathi Times,SILIGURI,
Maple Watch World,SILIGURI,9647755055
SWISS WATCH,SILIGURI,9832471657
ROYAL WATCH CO,SILIGURI,8927824092
,,
Jalpaiguri,,
Name,Area,Contact
TIME CENTRE,JALPAIGURI, 9775522650
KOHINOOR WATCH MAKERS,JALPAIGURI,9832017553
REGENT WATCH CO.,MAYNAGURI,
,,
Cooch Behar,,
Name,Area,Contact
SREE KRISHNA WATCH CO,COOCHBEHAR,9474827393
GUPTA WATCH CO.,COOCHBEHAR, 9933642539
HIND WATCH CO.,COOCHBEHAR,
GANESH WATCH CO,COOCHBEHAR,
ORIENT GLOBAL PRIVATE LIMITED,RAIGANJ,8918617460
HIND WATCH CO. ,RAIGANJ,
MODERN WATCH CO,RAIGANJ,
,,
Malda,,
Name,Area,Contact
NEW RUBY WATCH,MALDA,9434213242
PRANAB & BROTHERS,MALDA,9733206788
GHARI MAHAL ,MALDA,9474470142
GHARI HOUSE,MALDA,9232658700
,,
Dinajpur,,
Name,Area,Contact
CALCUTTA WATCH TRADING,Dinajpur, 9563166896
